Sample_pk,State,Year,Month,Day,Site,Commo_code,Source_ID,Variety,Origin,Country_Code,Distrib_Type,Commo_Type,Claim,Quantity,Growst_Stcode,Packer_Stcode,Distrib_Stcode
1,CA,22,1,10,4,BB,B,N/A,2,720,R,FR,NC,,,,CA
2,CA,22,1,10,513,BB, ,N/A,2,720,R,FR,PO,,,,CA
3,CA,22,1,10,532,BB, ,wre,2,720,R,FR,NC,,,,CA
4,CA,22,1,10,545,BB, ,Na,2,275,R,FR,NC,,,,CA
5,CA,22,1,10,546,BB, ,Blueberries,2,275,R,FR,PO,,,,CA
6,CA,22,1,10,552,BB, ,Blueberries,2,720,R,FR,NC,,,,CA
7,CA,22,1,10,554,BB, ,Blueberries,2,275,R,FR,NC,,,,CA
8,CA,22,1,10,614,BB, ,Blueberries,2,595,D,FR,NC,,,,
9,CA,22,1,10,616,BB, ,Blueberries,2,720,D,FR,NC,,,,CA
10,CA,22,1,10,642,BB, ,Blueberries,1,,R,FR,NC,,,,CA
11,CA,22,2,14,1,BB,P,Unknown,2,595,R,FR,NC,,,,CA
12,CA,22,2,14,151,BB, ,N/A,2,595,D,FR,NC,,,,
13,CA,22,2,14,273,BB, ,Na,2,275,D,FR,NC,,,,CA
14,CA,22,2,14,406,BB, ,Na,2,275,D,FR,NC,,,,CA
15,CA,22,2,14,450,BB, ,Na,2,275,R,FR,NC,,,,FL
16,CA,22,2,14,484,BB, ,Na,2,275,R,FR,PO,,,,CA
17,CA,22,2,14,547,BB, ,Na,2,275,R,FR,NC,,,,CA
18,CA,22,2,14,561,BB, ,None,2,275,D,FR,NC,,,,CA
19,CA,22,2,14,564,BB, ,Na,2,275,D,FR,NC,,,,CA
20,CA,22,2,14,625,BB, ,N/A,2,595,D,FR,NC,,,,FL
21,CA,22,2,14,665,BB, ,Na,2,720,D,FR,NC,,,,CA
22,CA,22,2,14,673,BB, ,Biloxi,2,595,R,FR,NC,,,,CA
23,CA,22,3,14,1,BB,P,Unknown,2,275,R,FR,NC,,,,CA
24,CA,22,3,14,409,BB,A,Na,2,595,R,FR,NC,,,,
25,CA,22,3,14,486,BB,A,N/A,2,595,R,FR,NC,,,,CA
26,CA,22,3,14,486,BB,B,N/A,2,595,R,FR,NC,,,,
27,CA,22,3,14,496,BB, ,N/A,2,275,R,FR,PO,,,,CA
28,CA,22,3,14,542,BB,P,Na,2,595,R,FR,NC,,,,
29,CA,22,3,14,566,BB,P,Na,2,275,R,FR,NC,,,,CA
30,CA,22,3,14,617,BB, ,Na,2,275,H,FR,NC,,,,
31,CA,22,3,14,621,BB,P,Na,2,275,R,FR,PO,,,,CA
32,CA,22,3,14,627,BB, ,Unknown,2,595,R,FR,NC,,,,FL
33,CA,22,3,14,645,BB, ,Na,2,275,R,FR,NC,,,,CA
34,CA,22,3,14,646,BB, ,Na,2,595,R,FR,NC,,,,
35,CA,22,4,11,151,BB, ,N/A,1,,D,FR,PO,,,,CA
36,CA,22,4,11,273,BB,P,N/A,1,,R,FR,NC,,,,CA
37,CA,22,4,11,484,BB, ,Na,2,595,R,FR,NC,,,,
38,CA,22,4,11,515,BB, ,N/A,2,595,R,FR,NC,,,,CA
39,CA,22,4,11,545,BB, ,N/A,2,595,R,FR,NC,,,,CA
40,CA,22,4,11,547,BB, ,Na,2,595,R,FR,NC,,,CA,CA
41,CA,22,4,11,607,BB,P,"Jumbo, Blue Bell",2,595,R,FR,NC,,,,CA
42,CA,22,4,11,613,BB,P,N/A,2,595,R,FR,NC,,,,OR
43,CA,22,4,11,629,BB, ,N/A,2,595,D,FR,NC,,,,
44,CA,22,4,11,645,BB, ,N/A,2,595,R,FR,NC,,,,
45,CA,22,4,11,660,BB,P,N/A,2,595,R,FR,NC,,,,CA
46,CA,22,4,11,675,BB, ,N/A,2,595,H,FR,NC,,,,OR
47,CA,22,5,9,4,BB,P,Unknown; P90-Sample held 161 Days.,2,595,R,FR,NC,,,,CA
48,CA,22,5,9,406,BB, ,Na; P90-Sample held 161 Days.,1,,D,FR,NC,,,,CA
49,CA,22,5,9,484,BB,A,Na; P90-Sample held 161 Days.,1,,R,FR,PO,,CA,CA,CA
50,CA,22,5,9,484,BB,B,Na; P90-Sample held 161 Days.,2,595,R,FR,NC,,,CA,CA
51,CA,22,5,9,547,BB, ,Na; P90-Sample held 161 Days.,1,,R,FR,NC,,,CA,CA
52,CA,22,5,9,554,BB, ,Unknown; P90-Sample held 161 Days.,2,595,R,FR,NC,,,,CA
53,CA,22,5,9,564,BB, ,Na; P90-Sample held 161 Days.,2,595,D,FR,NC,,,,
54,CA,22,5,9,605,BB, ,N/A; P90-Sample held 161 Days.,2,595,H,FR,NC,,,,
55,CA,22,5,9,606,BB, ,N/A; P90-Sample held 161 Days.,2,595,H,FR,NC,,,,
56,CA,22,5,9,620,BB, ,Na; P90-Sample held 161 Days.,2,595,R,FR,NC,,,,
57,CA,22,5,9,638,BB,V,N/A; P90-Sample held 161 Days.,1,,R,FR,NC,,,,CA
58,CA,22,5,9,665,BB, ,Na; P90-Sample held 161 Days.,2,595,D,FR,NC,,,,CA
59,CA,22,6,13,1,BB,P,N/A; P90-Sample held 210 Days.,1,,R,FR,NC,,,,CA
60,CA,22,6,13,404,BB, ,Na; P90-Sample held 210 Days.,1,,D,FR,PO,,,,CA
61,CA,22,6,13,516,BB, ,Na; P90-Sample held 210 Days.,1,,R,FR,PO,,,,CA
62,CA,22,6,13,547,BB, ,Na; P90-Sample held 210 Days.,1,,R,FR,NC,,,,CA
63,CA,22,6,13,553,BB,P,N/A; P90-Sample held 210 Days.,1,,R,FR,NC,,,,CA
64,CA,22,6,13,556,BB, ,Na; P90-Sample held 210 Days.,1,,R,FR,NC,,,,CA
65,CA,22,6,13,569,BB,P,N/A; P90-Sample held 210 Days.,1,,R,FR,NC,,,,CA
66,CA,22,6,13,570,BB,U,N/A; P90-Sample held 210 Days.,2,595,R,FR,NC,,,,CA
67,CA,22,6,13,629,BB,P,Na; P90-Sample held 210 Days.,1,,R,FR,PO,,,,CA
68,CA,22,6,13,675,BB,P,Na; P90-Sample held 210 Days.,2,595,R,FR,NC,,,,
69,CA,22,7,11,4,BB,P,N/A; P90-Sample held 198 Days.,1,,R,FR,NC,,,,CA
70,CA,22,7,11,532,BB, ,Na; P90-Sample held 198 Days.,1,,R,FR,NC,,,,CA
71,CA,22,7,11,552,BB, ,Na; P90-Sample held 197 Days.,1,,R,FR,PO,,,,OR
72,CA,22,7,11,608,BB, ,N/A; P90-Sample held 198 Days.,1,,H,FR,NC,,OR,,CA
73,CA,22,7,11,617,BB,P,Na; P90-Sample held 198 Days.,1,,R,FR,PO,,,,OR
74,CA,22,7,11,630,BB, ,N/A; P90-Sample held 198 Days.,1,,R,FR,NC,,,OR,
75,CA,22,7,11,637,BB, ,Unknown; P90-Sample held 198 Days.,1,,R,FR,NC,,,OR,
76,CA,22,7,11,658,BB,U,Na; P90-Sample held 198 Days.,1,,R,FR,NC,,,,CA
77,CA,22,8,8,1,BB,P,Unknown,1,,R,FR,PO,,,,CA
78,CA,22,8,8,490,BB,A,N/A,1,,R,FR,PO,,,,CA
79,CA,22,8,8,490,BB,B,N/A,1,,R,FR,NC,,,,CA
80,CA,22,8,8,551,BB, ,Na,1,,R,FR,PO,,,,CA
81,CA,22,8,8,554,BB, ,Unknown,1,,R,FR,PO,,,,CA
82,CA,22,8,8,556,BB, ,N/A,2,260,R,FR,NC,,,,CA
83,CA,22,8,8,569,BB,P,Na,1,,R,FR,NC,,,,CA
84,CA,22,8,8,570,BB,P,Na,1,,R,FR,PO,,,,WA
85,CA,22,8,8,571,BB,P,Na,2,260,R,FR,NC,,,,CA
86,CA,22,8,8,599,BB, ,N/A,1,,H,FR,NC,,,,CA
87,CA,22,8,8,627,BB,P,N/A,1,,R,FR,NC,,,OR,
88,CA,22,8,8,657,BB, ,N/A,2,260,D,FR,NC,,,,CA
89,CA,22,8,8,673,BB, ,N/A,1,,R,FR,NC,,,,OR
90,CA,22,9,12,300,BB,A,N/A,2,720,H,FR,NC,,,,CA
91,CA,22,9,12,300,BB,B,N/A,2,720,H,FR,PO,,,,CA
92,CA,22,9,12,553,BB,P,Unknown,2,260,R,FR,NC,,,,CA
93,CA,22,9,12,554,BB, ,Unknown,2,720,R,FR,NC,,,,CA
94,CA,22,9,12,564,BB, ,N/A,2,720,D,FR,NC,,,,CA
95,CA,22,9,12,614,BB, ,Na,1,,D,FR,NC,,,,OR
96,CA,22,9,12,616,BB, ,Na,2,260,D,FR,NC,,,,CA
97,CA,22,9,12,642,BB, ,Unknown,1,,R,FR,PO,,,,OR
98,CA,22,9,12,646,BB, ,N/A,2,720,R,FR,NC,,,,CA
99,CA,22,9,12,656,BB,P,N/A,2,720,R,FR,PO,,,,CA
100,CA,22,9,12,673,BB, ,Unknown,2,260,R,FR,NC,,,,CA
101,CO,22,1,10,7,BB, ,Blueberries,2,595,R,FR,NC,,,,CA
102,CO,22,1,10,9,BB, ,Blueberries,2,595,D,FR,NC,,,,FL
103,CO,22,1,10,10,BB, ,Blueberries,1,,D,FR,NC,,,,TX
104,CO,22,2,7,7,BB, ,Na,2,275,R,FR,NC,,,,OH
105,CO,22,2,7,8,BB, ,Na,2,595,D,FR,NC,,,,CA
106,CO,22,3,7,7,BB, ,Na,2,595,D,FR,NC,,,,CA
107,CO,22,3,7,10,BB, ,Jolene,2,275,D,FR,NC,,,,CA
108,CO,22,4,4,6,BB, ,Na,2,275,D,FR,NC,,,CA,CA
109,CO,22,4,4,7,BB, ,Na,2,595,D,FR,NC,,,,CA
110,CO,22,6,6,8,BB, ,Na; P90-Sample held 195 Days.,1,,D,FR,NC,,,,CA
111,CO,22,6,6,9,BB, ,Na; P90-Sample held 195 Days.,1,,D,FR,NC,,,,FL
112,CO,22,7,5,6,BB, ,Na; P90-Sample held 196 Days.,1,,D,FR,NC,,,,CA
113,CO,22,7,5,10,BB, ,Na; P90-Sample held 196 Days.,1,,D,FR,NC,,,,CA
114,CO,22,8,1,9,BB, ,Na,1,,D,FR,NC,,,,TX
115,CO,22,9,6,7,BB, ,Na,1,,D,FR,NC,,,,CA
116,CO,22,9,6,10,BB, ,Na,1,,D,FR,NC,,,,CA
117,FL,22,1,3,40,BB, ,Na,2,595,H,FR,NC,,,,CA
118,FL,22,1,3,55,BB,P,Na,2,275,R,FR,NC,,,,FL
119,FL,22,1,3,75,BB, ,Na,2,595,L,FR,NC,,,,FL
120,FL,22,1,3,79,BB,P,Na,2,720,R,FR,NC,,,,FL
121,FL,22,1,3,84,BB,P,Susy Blue,2,275,R,FR,NC,,,,
122,FL,22,1,4,39,BB, ,N/A,2,595,H,FR,NC,,,,
123,FL,22,1,4,92,BB, ,N/A,2,275,L,FR,NC,,,,FL
124,FL,22,2,7,7,BB, ,N/A,2,275,D,FR,NC,,,,CA
125,FL,22,2,7,7,BB,A,N/A,2,275,D,FR,NC,,,,CA
126,FL,22,2,7,29,BB, ,Na,2,275,D,FR,NC,,,,FL
127,FL,22,2,7,68,BB, ,Na,2,275,H,FR,NC,,,,FL
128,FL,22,2,7,79,BB,P,Na,2,275,R,FR,NC,,,,
129,FL,22,2,7,84,BB,A,Eb 9-12,2,275,L,FR,NC,,,,
130,FL,22,3,7,40,BB, ,Na,2,595,H,FR,NC,,,,CA
131,FL,22,3,7,41,BB,P,Na,2,275,R,FR,NC,,,,FL
132,FL,22,3,7,57,BB,P,Na,2,275,R,FR,NC,,,,FL
133,FL,22,3,7,65,BB, ,Na,2,595,H,FR,NC,,,,CA
134,FL,22,3,7,79,BB,P,Na,2,275,R,FR,PO,,,,FL
135,FL,22,3,7,85,BB,P,Na,2,595,R,FR,NC,,,,FL
136,FL,22,3,7,86,BB, ,N/A,2,720,H,FR,NC,,,,IL
137,FL,22,4,4,39,BB, ,N/A,1,,H,FR,NC,,,,
138,FL,22,4,4,40,BB, ,Na,2,720,H,FR,NC,,,,
139,FL,22,4,4,66,BB, ,Na,1,,R,FR,NC,,,,FL
140,FL,22,4,4,75,BB, ,Na,2,595,L,FR,NC,,,,
141,FL,22,4,4,79,BB,P,Na,1,,R,FR,NC,,,,FL
142,FL,22,4,4,84,BB,P,Na,2,595,R,FR,NC,,,,FL
143,FL,22,4,4,92,BB, ,N/A,1,,L,FR,NC,,,,
144,FL,22,5,2,7,BB, ,N/A,1,,D,FR,NC,,,,FL
145,FL,22,5,2,49,BB,P,Na,1,,R,FR,NC,,,,GA
146,FL,22,5,2,68,BB, ,Na,1,,H,FR,NC,,,,FL
147,FL,22,5,2,75,BB, ,Magica,2,595,L,FR,NC,,,,FL
148,FL,22,5,2,79,BB,P,Na,1,,R,FR,NC,,,,
149,FL,22,5,2,83,BB,P,Na,1,,R,FR,NC,,,,GA
150,FL,22,5,2,88,BB, ,Na,2,595,L,FR,NC,,,,FL
151,FL,22,6,6,41,BB,P,Na; P90-Sample held 196 Days.,1,,R,FR,NC,,,,CA
152,FL,22,6,6,60,BB,P,Na; P90-Sample held 196 Days.,1,,R,FR,NC,,,,FL
153,FL,22,6,6,79,BB, ,Na; P90-Sample held 196 Days.,1,,H,FR,NC,,,,GA
154,FL,22,6,6,85,BB,P,Na; P90-Sample held 196 Days.,1,,R,FR,NC,,,,FL
155,FL,22,6,6,86,BB,P,Na; P90-Sample held 196 Days.,1,,R,FR,NC,,,,CA
156,FL,22,6,6,96,BB,P,Na; P90-Sample held 196 Days.,1,,R,FR,NC,,,,NC
157,FL,22,6,7,40,BB, ,Na; P90-Sample held 195 Days.,2,595,H,FR,NC,,,,CA
158,FL,22,7,5,65,BB, ,Na; P90-Sample held 196 Days.,1,,H,FR,NC,,,,IL
159,FL,22,7,5,79,BB,P,Na; P90-Sample held 196 Days.,1,,R,FR,NC,,,,FL
160,FL,22,7,5,84,BB,P,Na; P90-Sample held 196 Days.,1,,R,FR,NC,,,,FL
161,FL,22,7,5,92,BB, ,N/A; P90-Sample held 196 Days.,2,595,L,FR,PO,,,,
162,FL,22,7,5,95,BB,P,Na; P90-Sample held 196 Days.,1,,R,FR,NC,,,,NJ
163,FL,22,7,6,39,BB,P,Na; P90-Sample held 196 Days.,1,,R,FR,NC,,,,CA
164,FL,22,8,1,7,BB, ,N/A,1,,D,FR,NC,,,,
165,FL,22,8,1,48,BB,P,Na,1,,R,FR,PO,,,,CA
166,FL,22,8,1,58,BB, ,Na,2,595,L,FR,PO,,,,
167,FL,22,8,1,68,BB, ,Na,1,,H,FR,NC,,,,FL
168,FL,22,8,1,79,BB,P,Na,1,,R,FR,NC,,,,FL
169,FL,22,8,1,83,BB,P,Na,2,260,R,FR,NC,,,,CA
170,FL,22,8,1,88,BB, ,Na,2,595,R,FR,PO,,,,
171,FL,22,9,6,40,BB, ,Na,2,260,H,FR,NC,,,,CA
172,FL,22,9,6,60,BB, ,Ventura,2,720,H,FR,NC,,,,IL
173,FL,22,9,6,74,BB,P,Na,1,,R,FR,PO,,,,CA
174,FL,22,9,6,79,BB,P,Na,1,,R,FR,NC,,FL,,
175,FL,22,9,6,94,BB,P,Na,2,720,R,FR,PO,,,,FL
176,MD,22,1,4,1,BB, ,Na,2,720,D,FR,NC,,,NJ,
177,MD,22,1,4,42,BB, ,Na,2,720,D,FR,NC,,,,
178,MD,22,1,5,28,BB,P,Blueberries,2,275,R,FR,NC,,,,FL
179,MD,22,1,5,33,BB, ,Blueberries,2,275,T,FR,NC,,,,
180,MD,22,2,7,1,BB, ,Na,2,275,D,FR,NC,,,,NJ
181,MD,22,2,7,5,BB, ,Na,2,275,D,FR,NC,,,,
182,MD,22,2,9,36,BB, ,Na,2,275,T,FR,NC,,,,
183,MD,22,2,9,47,BB, ,Na,2,275,T,FR,NC,,,,
184,MD,22,3,7,1,BB, ,Brightwell,2,275,D,FR,NC,,,,
185,MD,22,3,7,36,BB, ,Legacy,2,275,T,FR,NC,,,,CA
186,MD,22,3,9,42,BB, ,Blue Berries,2,275,D,FR,NC,,,,CA
187,MD,22,3,9,47,BB, ,Blueberries,2,275,T,FR,NC,,,,FL
188,MD,22,4,4,1,BB, ,Blueberries,1,,D,FR,NC,,FL,,FL
189,MD,22,4,4,5,BB, ,Blueberries,2,275,D,FR,NC,,,,
190,MD,22,4,6,36,BB, ,Blue Berries,2,275,T,FR,NC,,,,CA
191,MD,22,4,6,47,BB, ,Blueberries,2,275,T,FR,NC,,,,
192,MD,22,5,2,1,BB, ,Na,1,,D,FR,NC,,,,CA
193,MD,22,5,2,33,BB, ,Na,1,,T,FR,NC,,,,NC
194,MD,22,5,4,36,BB, ,Blueberries,1,,T,FR,NC,,,,NC
195,MD,22,5,4,42,BB, ,Blueberries,1,,D,FR,NC,,,,NC
196,MD,22,6,6,1,BB, ,Biloxi; P90-Sample held 196 Days.,2,595,D,FR,NC,,,,CA
197,MD,22,6,6,42,BB, ,Na; P90-Sample held 196 Days.,1,,D,FR,NC,,,,MD
198,MD,22,6,8,33,BB, ,Fresh Blueberries; P90-Sample held 194 Days.,1,,T,FR,NC,,,,IL
199,MD,22,6,8,36,BB, ,Blueberries; P90-Sample held 194 Days.,1,,T,FR,NC,,,,
200,MD,22,7,5,5,BB, ,Na; P90-Sample held 196 Days.,1,,D,FR,NC,,,NJ,NJ
201,MD,22,7,5,36,BB, ,Na; P90-Sample held 196 Days.,1,,T,FR,NC,,NJ,NJ,NJ
202,MD,22,7,6,33,BB, ,Blueberries; P90-Sample held 196 Days.,1,,T,FR,NC,,,,NJ
203,MD,22,7,6,42,BB, ,Blueberries; P90-Sample held 196 Days.,1,,D,FR,NC,,NJ,NJ,
204,MD,22,8,1,5,BB, ,Na,2,720,D,FR,NC,,,,
205,MD,22,8,1,28,BB, ,Na,1,,T,FR,NC,,,,NJ
206,MD,22,8,3,42,BB, ,N/A,2,260,D,FR,NC,,,,CA
207,MD,22,8,3,47,BB, ,N/A,1,,T,FR,NC,,,,NJ
208,MD,22,9,6,1,BB, ,N/A,1,,D,FR,NC,,,,TX
209,MD,22,9,6,5,BB, ,N/A,2,260,D,FR,NC,,,,CA
210,MD,22,9,7,33,BB, ,Blueberries,2,720,T,FR,NC,,,,CA
211,MD,22,9,7,47,BB, ,Blueberries,2,720,T,FR,NC,,,,
212,MI,22,1,4,7,BB, ,Na,2,720,D,FR,NC,,,,WA
213,MI,22,1,4,8,BB, ,Na,2,720,D,FR,NC,,,,CA
214,MI,22,1,4,10,BB, ,Na,2,595,D,FR,NC,,,,
215,MI,22,1,4,27,BB, ,Na,2,720,D,FR,NC,,,,
216,MI,22,1,4,88,BB, ,Na,2,595,D,FR,NC,,,,CA
217,MI,22,1,4,107,BB,P,Na,2,595,R,FR,NC,,,,CA
218,MI,22,2,8,5,BB, ,Na,2,595,D,FR,NC,,,,
219,MI,22,2,8,21,BB, ,Na,2,275,D,FR,NC,,,,MI
220,MI,22,2,8,30,BB, ,Na,2,595,D,FR,NC,,,,CA
221,MI,22,2,8,38,BB, ,Na,2,595,T,FR,NC,,,,CA
222,MI,22,2,8,47,BB, ,Na,2,275,R,FR,NC,,,,
223,MI,22,2,8,103,BB, ,Na,2,275,D,FR,NC,,,,MI
224,MI,22,3,8,5,BB, ,Na,2,595,D,FR,NC,,,,CA
225,MI,22,3,8,7,BB, ,Na,2,275,D,FR,NC,,,,WA
226,MI,22,3,8,21,BB, ,Brightwell,2,275,D,FR,NC,,,,
227,MI,22,3,8,88,BB, ,Na,2,275,D,FR,NC,,,,
228,MI,22,3,8,95,BB, ,Na,2,595,D,FR,NC,,,,CA
229,MI,22,3,8,106,BB, ,Na,2,595,D,FR,NC,,,,CA
230,MI,22,4,5,6,BB, ,Na,2,595,D,FR,NC,,,,
231,MI,22,4,5,7,BB, ,Na,2,275,D,FR,NC,,,,WA
232,MI,22,4,5,21,BB, ,Na,2,595,D,FR,NC,,,,
233,MI,22,4,5,56,BB, ,Na,1,,D,FR,NC,,,FL,FL
234,MI,22,4,5,84,BB, ,Na,2,275,D,FR,NC,,,,WA
235,MI,22,4,5,88,BB, ,Na,2,595,D,FR,NC,,,,CA
236,MI,22,5,3,5,BB, ,Na,2,595,D,FR,NC,,,,CA
237,MI,22,5,3,8,BB, ,Na,1,,D,FR,NC,,,,NC
238,MI,22,5,3,21,BB, ,Na,1,,D,FR,NC,,,,GA
239,MI,22,5,3,87,BB, ,Cultivated,1,,D,FR,NC,,,,CA
240,MI,22,5,3,88,BB, ,Na,2,595,D,FR,NC,,,,CA
241,MI,22,5,3,106,BB, ,Cultivated,2,595,D,FR,NC,,,,CA
242,MI,22,6,7,6,BB, ,Na; P90-Sample held 195 Days.,1,,D,FR,NC,,,,CA
243,MI,22,6,7,7,BB, ,Na; P90-Sample held 195 Days.,1,,D,FR,NC,,,,
244,MI,22,6,7,10,BB, ,Na; P90-Sample held 194 Days.,1,,D,FR,NC,,,,
245,MI,22,6,7,27,BB, ,Na; P90-Sample held 194 Days.,1,,D,FR,NC,,,,GA
246,MI,22,6,7,103,BB, ,Biloxi; P90-Sample held 195 Days.,2,595,D,FR,NC,,,,
247,MI,22,6,7,107,BB, ,Na; P90-Sample held 195 Days.,1,,R,FR,NC,,,,CA
248,MI,22,7,5,7,BB, ,Na; P90-Sample held 196 Days.,1,,D,FR,NC,,NJ,NJ,NJ
249,MI,22,7,5,10,BB,P,Na; P90-Sample held 196 Days.,1,,R,FR,NC,,,,MI
250,MI,22,7,5,27,BB, ,Na; P90-Sample held 196 Days.,1,,D,FR,NC,,NJ,NJ,NJ
251,MI,22,7,5,56,BB, ,Na; P90-Sample held 196 Days.,1,,D,FR,NC,,MI,,MI
252,MI,22,7,5,84,BB, ,Na; P90-Sample held 196 Days.,1,,D,FR,NC,,,,NJ
253,MI,22,8,2,35,BB, ,Na,1,,T,FR,NC,,,,MI
254,MI,22,8,2,56,BB, ,Na,1,,D,FR,NC,,MI,,MI
255,MI,22,8,2,84,BB, ,Na,2,260,D,FR,NC,,,,
256,MI,22,8,2,96,BB, ,Na,1,,D,FR,NC,,,MI,CA
257,MI,22,8,2,103,BB, ,Na,2,260,D,FR,NC,,,,MI
258,MI,22,8,2,105,BB, ,Na,1,,D,FR,NC,,,,MI
259,MI,22,9,6,7,BB, ,Na,1,,D,FR,PO,,,,CA
260,MI,22,9,6,47,BB, ,Na,1,,R,FR,NC,,MI,,MI
261,MI,22,9,6,50,BB, ,Na,1,,D,FR,PO,,,,CA
262,MI,22,9,6,87,BB, ,Na,2,720,D,FR,NC,,,,CA
263,MI,22,9,6,95,BB, ,Na,2,720,D,FR,NC,,,,CA
264,MI,22,9,6,106,BB, ,Na,2,720,D,FR,NC,,,,MI
265,NY,22,1,11,6,BB, ,Blueberries,2,720,R,FR,NC,,,,
266,NY,22,1,11,127,BB,P,Blueberries,2,720,R,FR,PO,,,,IL
267,NY,22,1,11,138,BB, ,Blueberries,2,720,D,FR,NC,,,,CA
268,NY,22,1,11,254,BB, ,Blueberries,2,275,D,FR,NC,,,,FL
269,NY,22,1,11,276,BB,P,Blueberries,2,275,R,FR,NC,,,,CA
270,NY,22,1,11,290,BB, ,Unknown,2,720,H,FR,NC,,,,FL
271,NY,22,1,11,304,BB, ,Blueberries,2,720,H,FR,NC,,,,FL
272,NY,22,2,15,9,BB, ,N/A,2,275,D,FR,PO,,,,IL
273,NY,22,2,15,15,BB, ,Na,2,720,D,FR,PO,,,,
274,NY,22,2,15,268,BB, ,Legacy,2,275,D,FR,NC,,,,CA
275,NY,22,2,15,278,BB,P,Na,2,720,R,FR,NC,,,,
276,NY,22,2,15,289,BB, ,Na,2,275,T,FR,NC,,,,WA
277,NY,22,2,15,290,BB, ,Unknown,2,275,H,FR,NC,,,,FL
278,NY,22,2,15,300,BB, ,Legacy,2,275,H,FR,NC,,,,CA
279,NY,22,2,15,301,BB, ,Duke,2,275,T,FR,NC,,,,FL
280,NY,22,2,15,303,BB, ,Na,2,275,L,FR,NC,,,,
281,NY,22,3,15,15,BB, ,Na,2,275,D,FR,NC,,,,NJ
282,NY,22,3,15,79,BB,A,Unknown,2,595,T,FR,NC,,,,CA
283,NY,22,3,15,79,BB,B,Unknown,2,720,T,FR,NC,,,,
284,NY,22,3,15,135,BB, ,Na,2,595,D,FR,NC,,,,CA
285,NY,22,3,15,258,BB, ,Na,2,595,D,FR,NC,,,,CA
286,NY,22,3,15,265,BB,P,N/A,2,595,R,FR,PO,,,,CA
287,NY,22,3,15,281,BB, ,Na,2,275,H,FR,NC,,,,FL
288,NY,22,3,15,289,BB, ,Na,2,275,T,FR,NC,,,,
289,NY,22,3,15,301,BB,P,Na,2,720,R,FR,NC,,,,NJ
290,NY,22,4,12,6,BB, ,Na,1,,D,FR,NC,,,,FL
291,NY,22,4,12,9,BB,P,N/A,2,595,R,FR,PO,,,,IL
292,NY,22,4,12,15,BB, ,Na,2,595,D,FR,NC,,,,
293,NY,22,4,12,31,BB, ,Na,2,595,D,FR,NC,,,,CA
294,NY,22,4,12,68,BB, ,Unknown,2,595,T,FR,NC,,,,CA
295,NY,22,4,12,201,BB, ,Wild,1,,D,FR,NC,,,,NY
296,NY,22,4,12,278,BB,P,Na,2,720,R,FR,NC,,,,
297,NY,22,4,12,294,BB, ,Na,2,595,L,FR,NC,,,,FL
298,NY,22,4,12,304,BB, ,Na,2,720,L,FR,NC,,,,FL
299,NY,22,5,10,127,BB,P,N/A; P90-Sample held 160 Days.,2,595,R,FR,PO,,,,FL
300,NY,22,5,10,259,BB, ,Na; P90-Sample held 160 Days.,2,595,D,FR,NC,,,,CA
301,NY,22,5,10,262,BB, ,Na; P90-Sample held 160 Days.,2,595,D,FR,NC,,,,CA
302,NY,22,5,10,298,BB, ,Na; P90-Sample held 160 Days.,1,,D,FR,NC,,,,IL
303,NY,22,5,10,303,BB,P,Na; P90-Sample held 160 Days.,1,,R,FR,NC,,,,CA
304,NY,22,5,17,254,BB, ,Na; P90-Sample held 153 Days.,1,,D,FR,NC,,,,NC
305,NY,22,6,14,138,BB, ,Na; P90-Sample held 209 Days.,2,595,D,FR,NC,,,,NY
306,NY,22,6,14,254,BB,P,Na; P90-Sample held 208 Days.,1,,R,FR,NC,,,,NC
307,NY,22,6,14,261,BB, ,Na; P90-Sample held 209 Days.,2,595,D,FR,NC,,,CA,FL
308,NY,22,6,14,267,BB, ,N/A; P90-Sample held 209 Days.,1,,D,FR,NC,,,,CA
309,NY,22,6,14,276,BB, ,Na; P90-Sample held 209 Days.,2,595,T,FR,NC,,,,AZ
310,NY,22,6,14,290,BB, ,Unknown; P90-Sample held 209 Days.,2,595,H,FR,NC,,,,FL
311,NY,22,6,14,303,BB, ,Na; P90-Sample held 209 Days.,2,595,L,FR,NC,,,,FL
312,NY,22,6,14,304,BB, ,Na; P90-Sample held 209 Days.,1,,L,FR,NC,,,,FL
313,NY,22,7,12,15,BB, ,Na; P90-Sample held 197 Days.,2,595,D,FR,PO,,,,
314,NY,22,7,12,254,BB,P,Na; P90-Sample held 197 Days.,1,,R,FR,NC,,,,NJ
315,NY,22,7,12,259,BB, ,Na; P90-Sample held 197 Days.,1,,D,FR,NC,,,,NJ
316,NY,22,7,12,262,BB, ,Jersey Fresh; P90-Sample held 197 Days.,1,,D,FR,NC,,,,CA
317,NY,22,7,12,265,BB, ,N/A; P90-Sample held 197 Days.,1,,D,FR,NC,,,,NJ
318,NY,22,7,12,283,BB,P,Na; P90-Sample held 197 Days.,1,,R,FR,NC,,,,PA
319,NY,22,7,12,284,BB,P,Na; P90-Sample held 197 Days.,1,,R,FR,NC,,NJ,NJ,
320,NY,22,8,9,9,BB,P,N/A,1,,R,FR,PO,,,,CA
321,NY,22,8,9,15,BB, ,Na,2,260,D,FR,NC,,,,CA
322,NY,22,8,9,201,BB, ,Unknown,2,260,D,FR,NC,,,,CA
